Run_Sample_Name,Sample Name Given from pH measurements,Sample Processing #_SOIL BAGS,Plot,Year,Sample_type,Status,Vegetation,TOC,TN,Run,Date / Time,SampleRemaining,Dilution_Factor,Soil_dry_weight,TOC_adj,TN_adj
79,69,28,HC4,2020,BSC,Healthy,Cassiope,928.3,18.59,1,2022-12-06 21:19,Yes,1,2.1146,438.9955547,8.791260759
80,61,21,HE2,2020,BSC,Healthy,Empetrum,1217,21.41,1,2022-12-06 22:26,Yes,1,2.0734,586.9586187,10.32603453
82,56,27,HC3,2020,BSC,Healthy,Cassiope,1117,35.75,1,2022-12-06 23:40,Yes,1,2.0925,533.8112306,17.08482676
83,72,31,BC1,2020,BSC,Browning,Cassiope,907.4,50.24,1,2022-12-06 23:54,Yes,1,2.2487,403.522035,22.34179748
84,74,11,HC6,2020,BSC,Healthy,Cassiope,1106,20.28,1,2022-12-07 0:38,Yes,1,2.0618,536.4244835,9.836065574
85,60,23,HE7,2020,BSC,Healthy,Empetrum,1377,32.35,1,2022-12-07 3:01,Yes,1,2.2482,612.489992,14.38928921
87,79,18,HE4,2020,BSC,Healthy,Empetrum,1181,29.55,1,2022-12-07 0:09,Yes,1,2.0499,576.1256647,14.41533733
88,63,8,BE_BDC,2020,BDC,Browning,Empetrum,1169,41.62,1,2022-12-07 0:23,Yes,1,2.4174,483.5773972,17.21684454
89,80,14,BE7,2020,BSC,Browning,Empetrum,1171,28.93,1,2022-12-06 22:41,Yes,1,2.0345,575.5713935,14.21971
91,55,36,BC7,2020,BSC,Browning,Cassiope,1457,60.58,1,2022-12-07 1:36,Yes,1,5.1984,280.2785472,11.65358572
92,53,22,BE3,2020,BSC,Browning,Empetrum,1262,24.4,1,2022-12-07 1:07,Yes,1,2.6963,468.0488076,9.049438119
95,57,10,HC7,2020,BSC,Healthy,Cassiope,1066,57.46,1,2022-12-07 0:52,Yes,1,5.2585,202.7194067,10.92707046
98,67,20,BE5,2020,BSC,Browning,Empetrum,1408,32.42,1,2022-12-07 1:52,Yes,1,2.8525,493.6021034,11.36546889
101,77,17,BE2,2020,BSC,Browning,Empetrum,1694,50.29,1,2022-12-07 2:09,Yes,1,5.0815,333.366132,9.89668405
109,71,19,HE6,2020,BSC,Healthy,Empetrum,1258,15.09,1,2022-12-06 23:26,Yes,1,2.0123,625.1552949,7.498881876
110,81,15,HE1,2020,BSC,Healthy,Empetrum,735.4,36.04,1,2022-12-06 22:11,Yes,1,5.1326,143.2802089,7.021782333
111,62,24,HE3,2020,BSC,Healthy,Empetrum,1183,24.61,1,2022-12-07 2:41,Yes,1,2.0313,582.3856644,12.11539408
112,68,16,BE1,2020,BSC,Browning,Empetrum,1475,38.07,1,2022-12-07 2:26,Yes,1,2.5518,578.0233561,14.91888079
113,75,33,BC5,2020,BSC,Browning,Cassiope,719.1,42.87,1,2022-12-06 21:06,Yes,1,5.0901,141.2742382,8.42223139
115,65,12,HE5,2020,BSC,Healthy,Empetrum,1198,23.62,1,2022-12-06 22:56,Yes,1,2.0235,592.043489,11.67284408
116,58,25,BE4,2020,BSC,Browning,Empetrum,1169,34.58,1,2022-12-06 23:11,Yes,1,2.0397,573.1234986,16.95347355
117,70,30,BC2,2020,BSC,Browning,Cassiope,618.4,29.77,1,2022-12-06 20:53,Yes,1,2.0302,304.600532,14.66357994
120,59,37,HC1,2020,BSC,Healthy,Cassiope,855.6,33.91,2,2022-12-08 0:03,Yes,1,2.1606,396.0011108,15.69471443
122,64,32,BC3,2020,BSC,Browning,Cassiope,1366,67.27,2,2022-12-08 2:23,Yes,1,5.0324,271.4410619,13.36737938
123,73,13,BE6,2020,BSC,Browning,Empetrum,1292,30.49,2,2022-12-08 1:30,Yes,1,2.0933,617.2072804,14.56551856
126,66,29,HC5,2020,BSC,Healthy,Cassiope,1169,28.39,2,2022-12-08 2:37,Yes,1,2.0448,571.6940532,13.88399844
127,76,35,BC6,2020,BSC,Browning,Cassiope,681.9,46.86,2,2022-12-08 2:07,Yes,1,2.1926,311.0006385,21.37188726
128,54,26,HC2,2020,BSC,Healthy,Cassiope,1405,53.34,2,2022-12-08 1:54,Yes,1,5.0173,280.0310924,10.63121599
135,78,34,BC4,2020,BSC,Browning,Cassiope,1376,73.69,2,2022-12-08 2:53,Yes,1,5.0641,271.7165933,14.55145041
140,130,201,HC2,2020,Core,Healthy,Cassiope,212.8,10.22,2,2022-12-07 16:10,NSL,1,5.0205,42.38621651,2.035653819
141,131,221,BE3,2020,Core,Browning,Empetrum,125.8,4.21,2,2022-12-07 16:21,Yes,1,5.282,23.81673608,0.797046573
142,139,208,BC6,2020,Core,Browning,Cassiope,76.89,4.112,2,2022-12-07 16:43,Yes,1,5.0714,15.16149387,0.810821469
143,121,215,HE6,2020,Core,Healthy,Empetrum,271.1,14.32,2,2022-12-07 15:21,Yes,1,5.1904,52.23104192,2.758939581
144,118,225,BE5,2020,Core,Browning,Empetrum,108.9,4.596,2,2022-12-07 16:31,Yes,1,5.3772,20.25217585,0.854719929
145,137,207,HC7,2020,Core,Healthy,Cassiope,85.89,5.205,2,2022-12-07 14:49,Yes,1,5.0827,16.89849883,1.024062014
146,124,217,HE1,2020,Core,Healthy,Empetrum,108.1,5.754,2,2022-12-07 15:00,Yes,1,5.3254,20.29894468,1.080482217
147,123,224,HE5,2020,Core,Healthy,Empetrum,207.8,9.168,2,2022-12-07 15:33,Yes,1,2.8014,74.17719712,3.27264939
148,132,222,BE1,2020,Core,Browning,Empetrum,152.5,6.205,2,2022-12-07 23:50,Yes,1,5.0524,30.18367509,1.228129206
149,126,213,HC4,2020,Core,Healthy,Cassiope,166.4,9.424,2,2022-12-07 23:39,NSL,1,0.9141,182.0369763,10.30959414
150,140,209,BC1,2020,Core,Browning,Cassiope,116.4,7.978,2,2022-12-07 23:28,Yes,1,5.0447,23.07372093,1.581461732
151,117,227,BE6,2020,Core,Browning,Empetrum,117.5,5.678,2,2022-12-07 23:17,Yes,1,5.0077,23.46386565,1.133853865
152,128,204,BC3,2020,Core,Browning,Cassiope,158.6,10.17,2,2022-12-07 23:06,Yes,1,5.7204,27.72533389,1.777847703
153,127,226,HE2,2020,Core,Healthy,Empetrum,298.6,12.08,2,2022-12-07 22:55,NSL,1,3.217,92.81939695,3.75505129
154,120,219,BE4,2020,Core,Browning,Empetrum,231,8.277,2,2022-12-07 22:43,Yes,1,5.0907,45.37686369,1.625906064
155,136,212,HC3,2020,Core,Healthy,Cassiope,72.66,3.98,2,2022-12-07 22:24,Yes,1,5.0413,14.41294904,0.789478904
156,141,202,HC1,2020,Core,Healthy,Cassiope,133.1,7.262,2,2022-12-07 21:03,NSL,1,5.2044,25.57451387,1.395357774
157,119,228,HE4,2020,Core,Healthy,Empetrum,121.7,4.874,2,2022-12-07 17:04,Yes,1,5.0828,23.94349571,0.95892028
158,135,216,BE2,2020,Core,Browning,Empetrum,89.68,3.897,2,2022-12-07 15:10,Yes,1,5.0924,17.61055691,0.765258032
159,116,223,HE7,2020,Core,Healthy,Empetrum,131.3,6.121,2,2022-12-07 14:37,Yes,1,5.0405,26.04900308,1.214363654
160,134,210,BC4,2020,Core,Browning,Cassiope,152.6,7.737,2,2022-12-07 21:40,Yes,1,5.0587,30.16585289,1.529444324
161,115,205,BC7,2020,Core,Browning,Cassiope,125.2,8.052,2,2022-12-07 21:52,Yes,1,2.0046,62.45635039,4.016761449
162,122,218,HE3,2020,Core,Healthy,Empetrum,74.6,3.173,2,2022-12-07 22:02,Yes,1,5.311,14.04631896,0.597439277
163,138,211,BC2,2020,Core,Browning,Cassiope,240.5,13.87,2,2022-12-07 22:13,NESL,1,5.0957,47.196656,2.721902781
164,129,203,BC5,2020,Core,Browning,Cassiope,102.8,5.995,2,2022-12-07 19:00,Yes,1,5.1345,20.0214237,1.167591781
165,142,214,HC6,2020,Core,Healthy,Cassiope,368.2,23.42,2,2022-12-07 19:12,NSL,1,5.1754,71.14425938,4.525254087
166,125,206,HC5,2020,Core,Healthy,Cassiope,158.7,9.33,2,2022-12-07 19:23,NSL,1,1.2234,129.7204512,7.626287396
167,133,220,BE7,2020,Core,Browning,Empetrum,99.07,5.722,2,2022-12-07 19:34,Yes,1,5.0537,19.60345885,1.132239745
209,192,197,HC1,2022,BSC,Healthy,Cassiope,620.2,17.72,3,2022-12-12 21:09,NSL,1,2.5033,247.7529661,7.078656174
212,189,194,BC8,2022,BSC,Browning,Cassiope,554.7,30.55,3,2022-12-12 19:43,Yes,1,5.0425,110.0049579,6.058502727
213,190,178,HC9,2022,BSC,Healthy,Cassiope,459.7,19.59,3,2022-12-13 5:03,Yes,2,5.106,180.0626714,7.673325499
214,194,192,HC6,2022,BSC,Healthy,Cassiope,516.8,8.919,3,2022-12-13 5:15,NSL,4,4.8748,424.0584229,7.31845409
215,191,199,HC7,2022,BSC,Healthy,Cassiope,1248,29.64,3,2022-12-13 3:53,NSL,1,4.0538,307.8592925,7.311658197
217,193,185,HC4,2022,BSC,Healthy,Cassiope,970.7,25.16,3,2022-12-13 3:04,NSL,1.818181818,5.1797,340.7357744,8.831680318
219,188,200,HC8,2022,BSC,Healthy,Cassiope,441,12.74,3,2022-12-13 3:30,NESL,2.857142857,5.0514,249.4358,7.20592311
122_diluted,64,32,BC3,2020,BSC,Browning,Cassiope,86.95,3.754,3,2022-12-13 1:37,Yes,20,5.0324,345.5607662,14.91932279
123_diluted,73,13,BE6,2020,BSC,Browning,Empetrum,69.12,1.494,3,2022-12-13 1:06,Yes,20,2.0933,660.3926814,14.27411265
126_diluted,66,29,HC5,2020,BSC,Healthy,Cassiope,60.89,1.491,3,2022-12-13 1:48,Yes,20,2.0448,595.5594679,14.58333333
127_diluted,76,35,BC6,2020,BSC,Browning,Cassiope,34.17,2.525,3,2022-12-13 1:27,Yes,20,2.1926,311.6847578,23.03201678
128_diluted,54,26,HC2,2020,BSC,Healthy,Cassiope,86.28,2.794,3,2022-12-13 1:16,Yes,20,5.0173,343.9300022,11.13746437
135_diluted,78,34,BC4,2020,BSC,Browning,Cassiope,90.43,4.19,3,2022-12-13 1:58,Yes,20,5.0641,357.1414467,16.54785648
215_diluted,191,199,HC7,2022,BSC,Healthy,Cassiope,68.03,1.544,3,2022-12-13 5:25,NSL,20,4.0538,335.6356998,7.617544033
221,200,198,HE1,2022,BSC,Healthy,Empetrum,1024,23.49,4,2022-12-14 0:34,NSL,1.666666667,5.0348,338.9740738,7.775879876
222,195,187,BC5,2022,BSC,Browning,Cassiope,830.8,25.77,4,2022-12-13 22:37,NSL,2,5.2641,315.6474991,9.790847438
223,207,184,BC4,2022,BSC,Browning,Cassiope,508.7,26.93,4,2022-12-13 21:46,Yes,1,5.1626,98.53562159,5.216363848
224,201,179,BC6,2022,BSC,Browning,Cassiope,533.5,25.54,4,2022-12-13 21:21,Yes,1,5.025,106.1691542,5.082587065
225,204,177,BE1,2022,BSC,Browning,Empetrum,598.2,28.34,4,2022-12-14 0:47,Yes,1.333333333,5.1696,154.2865986,7.309398535
226,206,180,HC3,2022,BSC,Healthy,Cassiope,1053,31.27,4,2022-12-13 22:52,NESL,1.428571429,5.0075,300.4065331,8.920904358
227,208,191,BC1,2022,BSC,Browning,Cassiope,386.3,19.94,4,2022-12-13 21:58,Yes,1,5.1722,74.68775376,3.855226016
228,202,188,BC3,2022,BSC,Browning,Cassiope,737.9,34.38,4,2022-12-13 20:55,Yes,1.333333333,5.085,193.4841036,9.014749263
229,199,189,BC7,2022,BSC,Browning,Cassiope,808.4,34.04,4,2022-12-14 0:06,Yes,1,5.0153,161.1867685,6.787231073
230,197,183,HC2,2022,BSC,Healthy,Cassiope,1203,38.24,4,2022-12-14 0:20,NESL,1.333333333,5.1206,313.2445417,9.957166478
231,205,195,BE2,2022,BSC,Browning,Empetrum,486.2,17.27,4,2022-12-13 23:39,NESL,1.818181818,5.1591,171.3477157,6.086332888
232,203,181,HC5,2022,BSC,Healthy,Cassiope,965.9,18.9,4,2022-12-14 1:01,NESL,1.666666667,3.6113,445.7766825,8.722620663
233,198,190,BC2,2022,BSC,Browning,Cassiope,890.3,35.29,4,2022-12-13 22:24,Yes,1,5.1576,172.6190476,6.842329766
234,209,182,BC9,2022,BSC,Browning,Cassiope,616.8,29.03,4,2022-12-13 22:11,Yes,1,5.037,122.4538416,5.763351201
236,196,193,HE2,2022,BSC,Healthy,Empetrum,698.2,16.19,4,2022-12-13 21:34,NSL,1,3.5909,194.4359353,4.508619009
212,77,17,BE2,2020,BSC,Browning,Empetrum,193.4,3.77,5,2023-01-23 21:17,Y,20,5.01,772.0558882,15.03393214
213,68,16,BE1,2020,BSC,Browning,Empetrum,240.2,4.63,5,2023-01-24 0:35,Y,20,5.03,955.0695825,18.40159046
214,55,36,BC7,2020,BSC,Browning,Cassiope,112.7,3.71,5,2023-01-23 20:29,NESL,20,5.05,446.3366337,14.7049505
215,67,20,BE5,2020,BSC,Browning,Empetrum,211.6,3.59,5,2023-01-23 20:43,NSL,20,5.03,841.3518887,14.26242545
216,60,23,HE7,2020,BSC,Healthy,Empetrum,253.7,4.55,5,2023-01-23 18:10,NSL,20,4.77,1063.731656,19.09014675
217,53,22,BE3,2020,BSC,Browning,Empetrum,181,2.78,5,2023-01-23 17:58,NSL,20,4.51,802.6607539,12.33259424
218,71,19,HE6,2020,BSC,Healthy,Empetrum,134.1,1.36,5,2023-01-23 18:43,NSL,20,2.8,957.8571429,9.692857143
219,61,21,HE2,2020,BSC,Healthy,Empetrum,202.6,2.87,5,2023-01-23 18:32,NSL,20,5.01,808.7824351,11.46906188
220,197,183,HC2,2022,BSC,Healthy,Cassiope,56,1.68,5,2023-01-23 20:08,NSL,20,2.57,435.7976654,13.06614786
221,65,12,HE5,2020,BSC,Healthy,Empetrum,118.9,2.1,5,2023-01-23 17:35,Y,20,2.7,880.7407407,15.57777778
221(5),65,12,HE5,2020,BSC,Healthy,Empetrum,465.2,7.96,5,2023-01-23 17:47,Y,4,2.7,689.1851852,11.78518519
222,62,24,HE3,2020,BSC,Healthy,Empetrum,221.4,3.76,5,2023-01-23 19:04,NSL,20,4.71,940.1273885,15.97876858
223,79,18,HE4,2020,BSC,Healthy,Empetrum,142.1,3.23,5,2023-01-23 20:54,NSL,20,3.56,798.3146067,18.15730337
223(5),79,18,HE4,2020,BSC,Healthy,Empetrum,632.8,13.7,5,2023-01-23 21:06,NSL,4,3.56,711.011236,15.39325843
224,80,14,BE7,2020,BSC,Browning,Empetrum,203.5,4.57,5,2023-01-23 18:21,NESL,20,5.05,805.9405941,18.0990099
225,58,25,BE4,2020,BSC,Browning,Empetrum,186.8,4.88,5,2023-01-24 0:24,NSL,20,4.65,803.4408602,21.00645161
226,63,8,BE-BDC,2020,BDC,Browning,Empetrum,169.6,5.4,5,2023-01-23 19:26,Y,20,5.06,670.3557312,21.32806324
227,56,27,HC3,2020,BSC,Healthy,Cassiope,159.2,4.95,5,2023-01-24 1:16,NSL,20,4.71,676.0084926,21.03184713
228,74,11,HC6,2020,BSC,Healthy,Cassiope,124.3,2.21,5,2023-01-24 0:46,NSL,20,3.63,684.8484848,12.19834711
229,57,10,HC7,2020,BSC,Healthy,Cassiope,73.48,4.15,5,2023-01-23 21:59,Y,20,5.02,292.749004,16.52191235
229(5),57,10,HC7,2020,BSC,Healthy,Cassiope,297.6,16.36,5,2023-01-23 21:48,Y,4,5.02,237.1314741,13.03585657
230,206,180,HC3,2022,BSC,Healthy,Cassiope,42.71,1.37,5,2023-01-23 22:30,NSL,20,2.38,358.907563,11.47058824
231,69,28,HC4,2020,BSC,Healthy,Cassiope,67.57,1.39,5,2023-01-23 22:40,NSL,20,2.33,580,11.9055794
232,72,31,BC1,2020,BSC,Browning,Cassiope,118.4,6.75,5,2023-01-24 0:03,Y,20,5.02,471.7131474,26.87250996
