,BE1,BE2,BE3,BE4,BE5,BE6,BE7,HE1,HE2,HE3,HE4,HE5,HE6,HE7,BC1,BC2,BC3,BC4,BC5,BC6,BC7,HC1,HC2,HC3,HC4,HC5,HC6,HC7
Aa,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
At,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Bn_DL,0,5,10,8,8,23,5,11,11,15,31,14,9,3,1,0,7,0,0,7,6,17,7,3,16,5,0,1
Bn_DH,0,0,0,0,1,2,0,0,0,0,1,0,1,0,4,0,3,0,0,2,0,1,0,0,0,0,0,0
Bn_DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ca,5,11,8,2,5,2,4,0,6,10,0,0,2,4,6,13,7,8,0,2,1,11,10,4,0,8,5,2
Cb,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,9,1,4,0,2,1,3,1,1,0,2,0,0
Cc,0,2,3,0,0,1,0,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0
Cd,3,0,1,2,0,1,2,0,4,0,2,2,0,1,5,0,7,9,18,11,2,0,0,7,2,0,2,4
Ce,0,0,3,1,4,1,5,5,0,1,0,1,0,0,4,3,0,1,0,3,2,0,0,1,1,1,0,3
Ch_DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1,5,0,0,4,0,5
Cn,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,10,8,2,0,0,1,10,4,1,1,1,0,1
Cp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Csp,2,0,0,0,0,1,0,1,3,2,0,0,0,2,2,12,5,12,2,9,0,2,8,1,0,3,4,0
Ct_DL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,22,14,31,33,29,35,68
Ct_DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,29,32,25,19,37,1,3,3,1,11,15,0
Ct_DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,6,5,1,1
Cu,3,1,12,1,2,11,3,0,8,13,0,0,0,1,11,10,12,11,0,9,0,3,7,6,1,2,0,2
Dc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dl_DL,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,3
Dl_DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,1,0,0,0,3,0,0,0,1
Dl_DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dsp,28,31,9,17,7,6,4,2,8,1,1,0,1,4,33,7,7,5,4,9,7,13,5,6,0,5,3,3
En_DL,14,8,0,3,1,1,4,67,44,31,41,65,53,50,2,0,0,3,1,1,0,28,25,10,42,24,32,15
En_DH,29,45,39,54,50,58,53,1,2,4,1,0,2,2,3,4,9,8,10,12,36,3,3,0,3,5,5,0
En_DM,9,5,0,0,0,1,0,7,6,9,11,0,19,16,0,1,1,0,3,1,0,1,3,3,6,0,1,0
G1,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,3,2,1,0
G1_DH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,1,0
Hcel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Jt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
Litter,11,21,13,23,24,12,32,50,14,18,50,27,36,33,8,6,17,11,16,23,15,22,6,8,26,18,16,33
Lsp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na,0,4,1,1,0,0,3,0,0,0,0,0,0,8,3,1,3,7,0,0,1,16,2,0,13,14,5,0
Nsp,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Of,1,0,2,0,2,1,3,6,4,2,0,0,0,0,21,18,15,16,27,10,19,5,11,13,4,4,3,4
Pa,1,4,17,3,6,5,9,0,0,5,0,6,10,2,2,5,1,0,1,0,0,1,1,0,0,0,0,2
Pc,32,19,18,31,45,29,16,1,24,12,15,48,14,24,12,10,13,18,1,25,49,15,44,41,33,40,44,27
Psp,1,0,1,0,2,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
Rc,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,2,0,2,3,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0
S1,0,2,0,1,2,5,0,2,2,1,5,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
S1_DH,0,6,1,1,1,1,0,0,2,1,4,6,6,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0
Sg,4,2,5,0,1,4,3,0,0,0,0,0,0,0,0,13,7,0,0,0,0,1,1,0,0,0,0,0
Sh,5,1,1,1,1,1,1,1,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Ssp,0,0,2,0,0,1,1,1,5,2,4,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
Stone,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,2,3,0,0,0,0,0
Su,1,0,3,3,5,12,10,0,5,4,1,5,13,6,8,3,4,8,1,6,2,0,0,3,11,11,27,7
Tv,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
UL1,0,0,3,4,0,0,0,0,0,0,1,0,0,0,3,14,3,0,1,0,0,5,3,5,0,0,0,0
Vu,16,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vu_DH,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vv,0,8,3,12,7,2,13,1,0,12,9,9,1,7,0,2,4,0,0,1,0,13,5,3,12,10,4,1
Vv_DH,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0
Vv_DL,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
