Plot,Group,Species_Richness,Species_Richness_Cryp,Aa,Bn,Ct,Ch,En,Sh,Spol,Vv,Vu,G1,S1,Jt,La,Bv,Dl,Hcel,Phca,Pl,Rc,An,Ao,Ca,Cb,Cc,Cd,Ce,Ci,Cn,Cp,Cu,Csp,Dc,Lsp,Na,Nsp,Oa,Of,Psp,Sg,Ssp,Su,Tv,UL1,At,Dsp,Hs,Pa,Pc,Livsp,RP,Stone,Litter,Bare,Shrubs,Graminoids,Herbs,Lichens,Bryophytes,Lichen_dom,Moss_dom,BSC_dom,VP_dom
BE1,BE,17,18,0,2,0,0,110,22,0,3,69,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,1,4,0,1,0,0,0,29,0,1,34,0,1,7,12,0,206,3,0,20,64,3,23,33,48
BE2,BE,17,14,0,21,0,0,119,33,0,66,0,2,64,0,0,0,2,0,0,0,0,0,0,11,0,2,0,0,0,1,0,1,0,0,0,4,0,0,0,0,2,0,0,1,0,0,31,0,4,19,0,9,2,21,0,239,66,2,22,54,14,22,0,20
BE3,BE,24,20,0,55,0,0,100,24,0,48,0,2,15,0,0,0,3,0,0,4,0,0,0,8,0,3,1,3,0,0,0,12,0,0,0,1,0,0,2,1,5,2,3,1,3,0,9,0,17,18,0,4,0,13,0,227,17,7,45,44,21,29,10,19
BE4,BE,18,20,0,41,0,0,101,27,0,76,0,1,25,0,0,0,3,0,0,0,4,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,17,0,3,31,0,7,0,23,0,245,26,7,14,51,22,31,10,18
BE5,BE,21,18,0,46,0,0,78,29,0,67,63,1,19,0,0,0,1,0,0,0,1,0,0,5,0,0,0,4,0,1,0,2,0,0,0,0,0,0,2,2,1,0,5,1,0,0,7,0,6,45,0,20,0,24,0,283,20,2,23,58,35,37,6,31
BE6,BE,22,23,0,120,0,0,121,14,0,19,0,5,25,0,0,0,0,0,0,2,0,0,0,2,1,1,1,1,0,0,0,11,1,0,0,0,0,0,1,0,4,1,12,0,0,7,6,0,5,29,0,0,0,12,0,274,30,2,36,47,12,17,3,28
BE7,BE,22,23,0,24,0,0,90,32,0,81,0,8,7,0,0,0,3,0,0,1,0,0,0,4,0,0,2,5,0,0,0,3,0,1,0,3,2,0,3,0,3,1,10,0,0,0,4,0,9,16,0,2,0,32,0,227,15,4,37,29,26,26,18,25
HE1,HE,17,16,0,40,1,0,156,4,0,17,41,0,15,0,0,0,21,1,0,0,0,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,2,0,0,1,0,17,0,50,0,259,15,22,16,3,0,0,2,18
HE2,HE,23,23,9,51,6,0,123,14,0,49,0,2,26,0,0,0,6,0,0,0,0,0,0,6,1,3,4,0,0,1,0,8,3,0,1,0,0,0,4,0,0,5,5,0,0,0,8,0,0,24,1,4,2,14,0,252,28,6,41,33,19,22,4,28
HE3,HE,21,17,0,100,0,0,113,3,0,68,0,40,12,1,0,0,1,0,0,0,3,0,0,10,0,0,0,1,0,1,0,13,2,0,0,0,0,0,2,4,0,2,4,0,0,0,1,0,5,13,0,0,0,18,0,284,53,4,39,19,12,13,7,24
HE4,HE,12,12,0,103,0,0,88,10,0,41,0,0,78,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,15,0,1,1,50,0,242,78,5,8,16,10,10,10,27
HE5,HE,12,12,0,66,0,0,92,0,0,61,0,6,96,0,0,0,0,0,0,0,28,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6,48,0,8,0,27,0,219,102,28,9,54,16,19,1,39
HE6,HE,13,11,0,75,0,0,143,5,0,33,0,13,54,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,10,14,0,5,0,36,0,256,67,16,16,25,11,13,0,8
HE7,HE,19,15,0,21,0,0,136,16,0,50,0,1,9,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,2,0,0,8,2,0,0,0,0,1,6,0,0,2,4,0,2,24,0,5,0,33,0,223,10,0,26,32,8,12,6,7
BC1,BC,25,25,0,42,70,0,28,0,0,2,1,2,0,7,0,0,15,1,0,0,0,0,0,6,0,0,5,4,2,1,1,11,2,0,0,3,0,0,21,1,0,0,8,0,3,0,33,0,2,12,0,5,12,8,3,143,9,16,68,47,28,32,39,4
BC2,BC,25,23,0,8,62,0,39,0,0,37,0,1,16,0,0,0,7,0,0,0,0,0,0,13,9,2,0,3,2,10,0,10,12,0,0,1,0,0,18,0,13,1,3,1,14,0,7,0,5,10,0,4,5,6,0,146,17,7,112,22,19,18,54,4
BC3,BC,26,22,0,42,90,0,46,0,0,29,0,11,13,0,0,0,15,2,0,0,0,1,0,7,1,1,7,0,0,8,0,12,5,0,0,3,1,0,15,1,7,0,4,0,3,0,7,0,1,14,0,1,0,17,0,207,24,17,76,22,41,41,8,8
BC4,BC,26,26,0,1,92,0,68,3,0,23,0,21,1,4,0,0,9,0,0,0,0,0,0,8,4,1,9,1,2,2,1,11,12,0,0,7,0,0,18,0,0,1,8,1,0,0,5,0,0,18,0,4,3,11,1,187,26,9,86,23,40,39,25,2
BC5,BC,19,13,0,0,70,8,26,35,0,13,0,0,41,30,0,1,33,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,1,0,51,0,0,0,1,0,1,0,4,0,1,1,0,7,18,16,0,152,71,36,74,6,21,13,3,9
BC6,BC,20,13,0,32,57,0,48,0,0,6,0,24,6,0,0,0,3,2,3,0,0,0,0,2,2,0,11,3,0,0,0,9,9,0,0,0,0,0,10,0,0,1,6,0,0,0,9,0,0,26,0,7,0,23,0,143,30,8,53,35,35,36,30,4
BC7,BC,19,16,0,36,87,0,104,0,0,3,0,1,11,6,0,0,1,4,0,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,1,0,0,19,0,0,0,2,0,0,0,7,0,0,49,0,3,0,15,0,230,18,5,29,56,21,35,22,26
HC1,HC,24,24,0,72,88,0,102,0,2,72,0,4,0,0,0,0,2,0,4,0,0,0,0,11,3,0,0,0,1,10,0,3,2,0,0,16,1,0,5,2,1,1,0,0,5,0,13,0,1,15,0,1,3,22,0,336,4,6,61,29,24,24,11,34
HC2,HC,23,23,0,29,76,0,79,0,0,69,0,22,13,0,0,0,12,1,0,0,0,0,1,10,1,1,0,0,5,4,0,7,8,0,0,2,0,0,11,0,1,0,0,0,3,0,5,0,1,44,0,10,7,6,0,253,35,13,54,50,33,34,24,17
HC3,HC,22,20,0,30,94,0,74,0,0,36,0,0,0,2,3,0,17,0,0,4,0,0,0,4,1,0,7,1,0,1,0,6,1,0,0,0,0,0,13,0,0,1,3,0,5,1,6,0,0,41,0,2,0,8,0,234,2,24,43,48,19,20,27,4
HC4,HC,16,19,0,71,98,0,117,0,0,62,0,43,0,0,3,0,0,0,0,0,10,0,0,0,0,0,2,1,0,1,0,1,0,0,0,13,0,0,4,0,0,0,11,0,0,0,0,1,0,33,0,0,0,27,0,348,43,13,33,34,7,7,0,51
HC5,HC,23,20,0,35,115,0,95,0,0,63,3,16,9,0,0,0,2,0,0,1,0,0,0,8,2,0,0,1,4,1,1,2,3,0,0,14,0,0,4,0,0,1,11,0,0,0,5,0,0,40,0,0,0,18,0,311,25,3,52,45,18,20,5,36
HC6,HC,17,14,0,0,144,0,89,1,3,48,1,8,31,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,27,0,0,0,3,1,0,44,0,0,0,16,0,286,39,0,46,48,25,26,0,38
HC7,HC,22,22,0,17,82,0,78,1,0,9,0,0,1,0,3,5,12,0,1,1,0,0,0,2,0,0,4,3,5,1,0,2,0,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,2,27,0,1,0,33,0,187,1,22,28,32,13,13,7,12
